CO (Monóxido de Carbono),,,,,,,,,,Unidade de Medida: parte por milhao (ppm),,,,,,,
Janeiro / 2017,,,,,,,,,,,,,,,,,
Dias / Hora 1 2,3,4,5,6,7,8,9,10,11,12 13 14 15 16 17,18,19,20,21,22,23,24
"1 0,4 0,3","0,6","0,6","0,6","0,6","0,5","0,5","0,4","0,4","0,3","0,3 0,4 0,4 0,3 0,4 0,5","0,4","0,7","0,7","0,9","0,7","0,8","0,6"
"2 0,3 0,4","0,3","0,4","0,5","0,6","0,9","0,8","1,0","0,8","0,7","0,5 0,6 0,5 0,6 0,6 0,7","0,8","1,1","1,2","0,8","0,8","0,9","0,8"
"3 0,4 0,3","0,5","0,4","0,5","0,4","0,5","0,7","1,2","1,0","0,8","0,6 0,6 0,6 0,9 0,7 0,8","1,0","1,0","0,6","0,4","0,6","0,5","0,4"
"4 0,3 0,3","0,4","0,5","0,4","0,4","0,7","1,0","0,9","0,7","1,0","0,7 0,6 0,5 0,6 0,6 0,7","0,8","0,9","0,6","0,5","0,7","0,7","0,8"
"5 0,5 0,3","0,4","0,3","0,3","0,6","0,9","0,9","0,9","0,8","0,6","0,7 0,5 0,5 0,5 0,7 0,7","0,8","0,8","0,7","0,6","0,5","0,9","0,7"
"6 0,5 0,3","0,4","0,4","0,5",-,-,-,-,-,-,- - - - - -,-,-,-,-,-,-,-
7 - -,-,-,-,-,-,-,-,-,-,- - - - - -,-,-,-,-,-,-,-
8 - -,-,-,-,-,-,-,-,-,-,- - - - - -,-,-,-,-,-,-,-
9 - -,-,-,-,-,-,-,-,-,-,- - - - - -,-,-,-,-,-,-,-
10 - -,-,-,-,-,-,-,-,-,-,- - - - - -,-,-,-,-,-,-,-
11 - -,-,-,-,-,-,-,-,-,-,- - - - - -,-,-,-,-,-,-,-
12 - -,-,-,-,-,-,-,-,-,-,"- - 0,7 0,7 0,7 0,7","1,0","1,1","0,8","0,6","0,4","0,4","0,3"
"13 0,2 0,1","0,1","0,1","0,1","0,6","1,0","1,2","1,3","1,3","1,0","0,7 1,0 1,0 0,9 0,9 1,0","1,0","1,0","0,9","0,9","0,7","0,8","0,4"
"14 0,5 0,5","0,4","0,3","0,3","0,3","0,4","0,9","1,2","0,9","0,6","0,7 0,7 0,6 0,6 0,7 0,8","0,8","0,8","0,7","0,7","0,6","0,5","0,4"
"15 0,4 0,2","0,3","0,4","0,6","0,7","0,9","0,9","0,5","0,5","0,5","0,4 0,6 0,5 0,6 0,6 0,7","0,8","0,8","0,9","0,7","0,8","0,8","0,6"
"16 0,4 0,2","0,4","0,3","0,3","0,4","0,6","0,5","0,8","0,7","0,7","0,6 0,8 0,7 0,6 0,5 0,7","0,6","0,7","0,7","1,0","0,9","0,8","0,5"
"17 0,5 0,3","0,2","0,2","0,3","0,3","0,4","0,5","0,6","0,6","0,5","0,6 0,7 0,7 0,6 0,7 0,6","0,6","0,8","0,7","0,7","0,7","0,9","0,7"
"18 0,3 0,2","0,3","0,3","0,2","0,3","0,6","0,9","0,9","1,0","1,3","1,2 0,7 0,7 1,2 0,7 0,8","1,3","1,3","1,4","2,0","2,0","1,6","1,2"
"19 0,6 0,2","0,3","0,3","0,4","0,7","0,9","1,1","1,2","1,2","1,2","1,2 0,9 0,8 1,1 0,9 1,2","1,8","1,1","1,0","0,9","0,7","0,9","0,7"
